station_id,strdate,element,value,mflag,qflag,sflag,obstime
USW00094846,20120101,TMAX,67,,,X,2400
USW00094846,20120101,TMIN,-17,,,X,2400
USW00094846,20120101,PRCP,10,,,X,2400
USW00094846,20120101,SNOW,0,T,,X,
USW00094846,20120101,SNWD,0,,,X,
USW00094846,20120101,AWND,87,,,W,
USW00014819,20120101,TMAX,67,,,W,
USW00014819,20120101,TMIN,-10,,,W,
USW00014819,20120101,PRCP,5,,,W,
USW00014819,20120101,AWND,90,,,W,
USW00094846,20120102,TMAX,-17,,,X,2400
USW00094846,20120102,TMIN,-78,,,X,2400
USW00094846,20120102,PRCP,3,,,X,2400
USW00094846,20120102,SNOW,5,,,X,
USW00094846,20120102,SNWD,0,,,X,
USW00094846,20120102,AWND,80,,,W,
USW00014819,20120102,TMAX,-16,,,W,
USW00014819,20120102,TMIN,-82,,,W,
USW00014819,20120102,PRCP,0,T,,W,
USW00014819,20120102,AWND,84,,,W,
USW00094846,20120103,TMAX,-28,,,X,2400
USW00094846,20120103,TMIN,-106,,,X,2400
USW00094846,20120103,PRCP,0,,,X,2400
USW00094846,20120103,SNOW,0,,,X,
USW00094846,20120103,SNWD,0,,,X,
USW00094846,20120103,AWND,46,,,W,
USW00014819,20120103,TMAX,-27,,,W,
USW00014819,20120103,TMIN,-105,,,W,
USW00014819,20120103,PRCP,0,,,W,
USW00014819,20120103,AWND,45,,,W,
USW00094846,20120104,TMAX,50,,,X,2400
USW00094846,20120104,TMIN,-39,,,X,2400
USW00094846,20120104,PRCP,0,,,X,2400
USW00094846,20120104,SNOW,0,,,X,
USW00094846,20120104,SNWD,0,,,X,
USW00094846,20120104,AWND,36,,,W,
USW00014819,20120104,TMAX,61,,,W,
USW00014819,20120104,TMIN,-32,,,W,
USW00014819,20120104,PRCP,0,,,W,
USW00014819,20120104,AWND,38,,,W,
USW00094846,20120105,TMAX,94,,,X,2400
USW00094846,20120105,TMIN,-50,,,X,2400
USW00094846,20120105,PRCP,0,,,X,2400
USW00094846,20120105,SNOW,0,,,X,
USW00094846,20120105,SNWD,0,,,X,
USW00094846,20120105,AWND,37,,,W,
USW00014819,20120105,TMAX,94,,,W,
USW00014819,20120105,TMIN,-21,,,W,
USW00014819,20120105,PRCP,0,,,W,
USW00014819,20120105,AWND,39,,,W,
USW00094846,20120106,TMAX,128,,,X,2400
USW00094846,20120106,TMIN,33,,,X,2400
USW00094846,20120106,PRCP,0,,,X,2400
